txn_id,amount,currency,timestamp,status,ref_id,payer_id,memo
pay_AARNA0000,349.00,INR,2026-08-17T06:17:00+00:00,captured,STL20260817AARNA,cust_1000,Online order
pay_AARNA0001,499.00,INR,2026-08-17T06:34:00+00:00,captured,STL20260817AARNA,cust_1001,Online order
pay_AARNA0002,649.00,INR,2026-08-17T06:51:00+00:00,captured,STL20260817AARNA,cust_1002,Online order
pay_AARNA0003,899.00,INR,2026-08-17T07:08:00+00:00,captured,STL20260817AARNA,cust_1003,Online order
pay_AARNA0004,1199.00,INR,2026-08-17T07:25:00+00:00,captured,STL20260817AARNA,cust_1004,Online order
pay_AARNA0005,1499.00,INR,2026-08-17T07:42:00+00:00,captured,STL20260817AARNA,cust_1005,Online order
pay_AARNA0006,2299.00,INR,2026-08-17T07:59:00+00:00,captured,STL20260817AARNA,cust_1006,Online order
pay_AARNA0007,2999.00,INR,2026-08-17T08:16:00+00:00,captured,STL20260817AARNA,cust_1007,Online order
pay_AARNA0008,3499.00,INR,2026-08-17T08:33:00+00:00,captured,STL20260817AARNA,cust_1008,Online order
pay_AARNA0009,349.00,INR,2026-08-17T08:50:00+00:00,captured,STL20260817AARNA,cust_1009,Online order
pay_AARNA0010,499.00,INR,2026-08-17T09:07:00+00:00,captured,STL20260817AARNA,cust_1010,Online order
pay_AARNA0011,649.00,INR,2026-08-17T09:24:00+00:00,captured,STL20260817AARNA,cust_1011,Online order
pay_AARNA0012,899.00,INR,2026-08-17T09:41:00+00:00,captured,STL20260817AARNA,cust_1012,Online order
pay_AARNA0013,1199.00,INR,2026-08-17T09:58:00+00:00,captured,STL20260817AARNA,cust_1013,Online order
pay_AARNA0014,1499.00,INR,2026-08-17T10:15:00+00:00,captured,STL20260817AARNA,cust_1014,Online order
pay_AARNA0015,2299.00,INR,2026-08-17T10:32:00+00:00,captured,STL20260817AARNA,cust_1015,Online order
pay_AARNA0016,2999.00,INR,2026-08-17T10:49:00+00:00,captured,STL20260817AARNA,cust_1016,Online order
pay_AARNA0017,3499.00,INR,2026-08-17T11:06:00+00:00,captured,STL20260817AARNA,cust_1017,Online order
pay_AARNA0018,349.00,INR,2026-08-17T11:23:00+00:00,captured,STL20260817AARNA,cust_1018,Online order
pay_AARNA0019,499.00,INR,2026-08-17T11:40:00+00:00,captured,STL20260817AARNA,cust_1019,Online order
pay_AARNA0020,649.00,INR,2026-08-17T11:57:00+00:00,captured,STL20260817AARNA,cust_1020,Online order
pay_AARNA0021,899.00,INR,2026-08-17T12:14:00+00:00,captured,STL20260817AARNA,cust_1021,Online order
pay_AARNA0022,1199.00,INR,2026-08-17T12:31:00+00:00,captured,STL20260817AARNA,cust_1022,Online order
pay_AARNA0023,1499.00,INR,2026-08-17T12:48:00+00:00,captured,STL20260817AARNA,cust_1023,Online order
pay_AARNA0024,2299.00,INR,2026-08-17T13:05:00+00:00,captured,STL20260817AARNA,cust_1024,Online order
pay_AARNA0025,2999.00,INR,2026-08-17T13:22:00+00:00,captured,STL20260817AARNA,cust_1025,Online order
pay_AARNA0026,3499.00,INR,2026-08-17T13:39:00+00:00,captured,STL20260817AARNA,cust_1026,Online order
pay_AARNA0027,349.00,INR,2026-08-17T13:56:00+00:00,captured,STL20260817AARNA,cust_1027,Online order
pay_AARNA0028,499.00,INR,2026-08-17T14:13:00+00:00,captured,STL20260817AARNA,cust_1028,Online order
pay_AARNA0029,649.00,INR,2026-08-17T14:30:00+00:00,captured,STL20260817AARNA,cust_1029,Online order
pay_AARNA0030,899.00,INR,2026-08-17T14:47:00+00:00,captured,STL20260817AARNA,cust_1030,Online order
pay_AARNA0031,1199.00,INR,2026-08-17T15:04:00+00:00,captured,STL20260817AARNA,cust_1031,Online order
pay_AARNA0032,1499.00,INR,2026-08-17T15:21:00+00:00,captured,STL20260817AARNA,cust_1032,Online order
pay_AARNA0033,2299.00,INR,2026-08-17T15:38:00+00:00,captured,STL20260817AARNA,cust_1033,Online order
pay_AARNADUP1,1499.00,INR,2026-08-17T13:42:00+00:00,captured,STL20260817AARNA,cust_1042,Online order
pay_AARNADUP2,1499.00,INR,2026-08-17T13:42:00+00:00,captured,STL20260817AARNA,cust_1042,Online order
pay_AARNAWH1,18500.00,INR,2026-08-17T10:00:00+00:00,captured,STL20260817AARNA,cust_wholesale_88,Wholesale restock
pay_AARNAWH2,22000.00,INR,2026-08-17T11:00:00+00:00,captured,STL20260817AARNA,cust_wholesale_88,Wholesale restock
pay_AARNAWH3,19750.00,INR,2026-08-17T12:00:00+00:00,captured,STL20260817AARNA,cust_wholesale_88,Wholesale restock
pay_AARNAWH4,16400.00,INR,2026-08-17T13:00:00+00:00,captured,STL20260817AARNA,cust_wholesale_88,Wholesale restock
pay_AARNACORP1,125000.00,INR,2026-08-17T15:05:00+00:00,captured,STL20260817AARNA,corp_zenithsoft,Corporate gifting - Diwali hampers
